"My Love  My Face 넌 내곁에서 멀어져 갔지만
나는 너를 그렇게 쉽게 보낼수가 없어

내게 왜 이러는거야 정말 이래야 하는거니
그저 몇마디 말로 다 끝나버릴 사랑은 아니잖아
다시 내게로 돌아와줘 너만 사랑할 수 있도록
지금 이대로 날 내버려 둔다면 내 맘 변할지도 몰라


My Heart My Dream 넌 벌써 나를 잊은지 몰라도
아직 나는 널 내 곁에서 보낼수가 없어
왜 날 떠나야만 했어 왜 네 마음이 변한거야
매일 밤 나를 아프게 울려도 싫어지진 않는데

다시 내게로 돌아와줘 제발 너무 늦지 않도록
내게로 돌아왔을 때 그 자리에 그땐 없을지도 몰라
다시 내게로 돌아와줘 너만 바라볼 수 있도록
오랜 기다림에 지쳐 내 사랑이 메마르지 않도록

다시 한 번 너의 가슴에 안겨보고 싶어
사랑하고 싶어",발라드
"왕년엔 친구였다 지금은 애인 됐다 왕년엔 친구였다지금은 애인 됐다
내가 요즘 들어 이상해졌어 그냥 친구로만 느껴졌는데
나의 고민거리 다 들어주던 니가 가끔 멋진 남자로 보여
나도 요즘 들어 이상해졌어 예전엔 친구들과 같이 봤는데
요즘엔 단둘이만 만나고 싶어 니가 여자로 보여
뜨거운 사랑을 택하자니 우정이 슬피 울고
영원한 우정을 택하자니 사랑이 슬피 우네
왕년엔 친구였다 지금은 애인 됐다 왕년엔 친구였다지금은 애인 됐다
난 모르겠다 모르겠다 뭐가 뭔지 난 모르겠다
널 택하겠다 택하겠다 사랑한다 에라 모르겠다
오늘 만나자는 전화가 왔어 어떤 옷을 입고 나가야 할 지
괜히 두근두근 가슴이 떨려 내가 어쩌다가 이렇게 됐나
나도 두근두근 가슴이 떨려 한번 거울 보고 또 다시 보고
매일 귀찮았던 샤워도 하고 내가 왜 이러는지
뜨거운 사랑을 택하자니 우정이 슬피 울고
영원한 우정을 택하자니 사랑이 슬피 우네
그렇게 애가 타게 찾아왔던 내 사랑이여 가까이에 숨어있던 내 사랑이여
아무것도 걱정 말아 내 사랑이여 지금부터 친구 아닌 남자로서 너를 지킬게
뜨거운 사랑을 택하자니 우정이 슬피 울고
영원한 우정을 택하자니 사랑이 슬피 우네 yeah~
나나 나나나나 난나나나나~나나 나나나나 난나나나나
나나 나나나나 난나나나나나나 나나나나 난나나나나


",댄스
"Like this yall to the
break of down
do you feel me every
body come on
Like this yall to the
break of down
do you feel me every
body come on
Like this yall to the
break of down
do you feel me every
body come on
Like this yall to the
break of down
그냥 feel me every
body come on
니가 나에게 안녕이라고
말하던 날
다른 남자가 생겼다고
말하던 날
널 말리는 날 붙잡던 날
뿌리치고 돌아서는 너를
보며 어느 날
니가 다시 돌아올지도 모른다는
생각이 들었지만
난 그래도 그러면 안되지
나를 이렇게까지 아프게 하며
애써 떠나는 널 보니
정말 사랑하나 했어
나는 그때 니가 돌아서던 그때
정말 너의 행복을 빌었어
근데 이제 와 이렇게 이런
모습으로 내게
나타나면 어떡해 내 맘 아프게
날 떠났으면 버렸으면
그 사람과 행복해야 하잖아
왜 이렇게 바보같이 울고있어
내가 가지말랬잖아
어서 내게 돌아와 어서 여기
내 곁으로 돌아와
니가 있어야 할 곳은 여기야
다시 내게 돌아와 지금
그 남자는 너를 잘 몰라
너를 이해하는 사람은 나 뿐야
Like this yall to the
break of down
do you feel me every
body come on
Like this yall to the
break of down
do you feel me every
body come on
Like this yall to the
break of down
do you feel me every
body come on
Like this yall to the
break of down
그냥 feel me every
body come on
yeah let me show
you how's feel
any goes a little some
like this go out
이렇게 될 줄 알았으면
보내지 않았지
아니 알았어도 할 수 없이
보냈겠지
니가 원하는 거라면 난
다 해 줬으니까
너만 행복하다면
그걸로 됐으니까
보낸거야 그래서
보낸거야 바보야
그런데 이게 뭐야 이게 다야
내가 보고싶어 했던 네
모습은 이런게 아니야
이럴 줄 알았으면 너를
안 보냈단 말야
날 떠났으면 버렸으면
그 사람과 행복해야 하잖아
왜 이렇게 바보같이 울고있어
내가 가지 말랬잖아
어서 내게 돌아와 어서 여기
내 곁으로 돌아와
니가 있어야 할 곳은 여기야
다시 내게 돌아와 지금
그 남자는 너를 잘 몰라
너를 이해하는 사람은 나 뿐야
어서 내게 돌아와 어서 여기
내 곁으로 돌아와
니가 있어야 할 곳은 여기야
다시 내게 돌아와 지금
그 남자는 너를 잘 몰라
너를 이해하는 사람은 나 뿐야
어서 내게 돌아와 어서 여기
내 곁으로 돌아와
니가 있어야 할 곳은 여기야
다시 내게 돌아와 지금
그 남자는 너를 잘 몰라
너를 이해하는 사람은 나 뿐야
Like this yall to the
break of down
do you feel me every
body come on
Like this yall to the
break of down
그냥 feel me every
body come on",댄스
"미련하게 아무도 모를 것 같아
태연한 척 지내왔어 너 떠나버린 뒤
다 알았대 어설픈 나의 눈빛을
행복했던 지난 날의 나와 너무 달라서
이별했음을 느낄 수 밖에
너와 나 정말 그때는 좋았었나봐
나 화 낼줄도 몰라 내내 즐거웠대
그래 그랬었지 널 사랑하기에
세상은 나에겐 커다란 감동이었어
그 순간을 잊는다면 내가 살아 온
짧은 세월은 너무나 보잘 것 없어
되돌려 보려 해 너를 찾으려 해
너 없이 살아도 멀쩡히 숨은 쉬겠지만
후회와 그리움만으로는 견딜 수 없어
하루도 자신이 없어
초라했대 어설픈 나의 눈빛은
행복했던 지난 날의 나와 너무 달라서
이별했음을 느낄 수 밖에
너와 나 헤어질줄은 아무도 몰랐대
하루가 너무 짧던 우리의 날들이
그래 그랬었지 널 사랑하기에
세상은 나에겐 커다란 감동이었어
그 순간을 잊는다면 내가 살아 온
짧은 세월은 너무나 보잘 것 없어
되돌려 보려 해 너를 찾으려 해
너 없이 살아도 멀쩡히 숨은 쉬겠지만
후회와 그리움만으로는 견딜 수 없어
하루도 자신이 없어 도저히",발라드
"언제부터 였을까 내가 자꾸 너의 모습이 더욱
나의 시간 속에서 사라지지 않는걸
문득 생각해 보면 내가 겁이 났었던건지 너를
아주 오래 전부터 원했었는지 몰라
아주 조금씩 조금씩 스며든 너를
이렇게 간절히 바라게 된걸
언제까지 숨길 수 없는 내 맘 알고 있나요 서로
말할 수 없었던 지난 시간이
이제는 더 이상 없는걸 알죠 고백할 그 날만 기다린 나를
받아 줬으면
너만 생각하면 난 가슴이 두근두근
내 마음속이 떨려와서 두근두근
설레이는 이 기분 좋은걸 너무나도 행복한걸
난 그 누구와 달라 자신 있어 너만 영원토록 사랑할게
아주 멋진 곳에서 내 맘 보여주고 싶은걸 아니
생각만으로 나는 너무 가슴 벅찬걸 이젠
더 이상 숨길 수 없는 내 맘을
너 또한 조금은 눈치 챘는지
사실은 나 조금 걱정이 앞서
자신 없는걸 분명
이런 내 마음을 알고 있겠지
너 역시 니 맘을 숨기고 있어
이렇게 가슴만 졸이는 내가 싫을 뿐이야
조금은 슬픈걸 나를 받아들일 자신이 없니
그런 니 맘이 아니라면 내 마음 받아주겠어
아주 조금씩 조금씩 스며든 너를
이렇게 간절히 바라게 된걸
언제까지 숨길 수 없는 내 맘 알고 있나요 서로
말할 수 없었던 지난 시간이
이제는 더 이상 없는걸 알죠 고백할 그 날만 기다린 나를
받아 줬으면

",발라드
"거리마다 불빛이 흐느끼듯 우는 밤
세월흐른 지금도 사랑하고 있다니
내 나이가 몇인가 꽃이 되어 진 세월
무던히도 참아왔던 외로움의 눈물이
사랑했어 사랑했어
우린 미치도록사랑했었어
보고싶어 너무 보고싶어
내 사랑이 식기전에

별빛속을 헤매던 하나였던 그림자
지금 어디 있는지 너무 보고 싶은데
사랑했어 사랑했어
우린 미치도록 사랑했었어
보고싶어 너무 보고싶어
단 한번만 내게
돌아와줘 돌아와줘
슬픈 내 눈물이 마르기전에
보고싶어 너무 보고싶어
내 사랑이 다 식기전에
이것만은 꼭 기억해야해
가려거든 오지마
",발라드
"살아있음 행복하니
붙어있는 숨에 안도하니
어딜 가던지 무얼 하던지 너는
부딪혀 깨진
내가 처참하게
무너져가길 원해

너의 삶을 살고 있니
갈망이 갈증이지 않게
무엇이 진정 니가 원했던 거니
부딪혀 깨진
내가 처참하게
무너져가길 원해
keep on followin' dream
my real my real dream
I will be there someday
my real world
미래는 없고 현실은 지고
젊음은 가고 허망한 꿈만 쫓고
안위와 시기
나에게 닥친 위기
이제 나는 나로
또 다른 내가 아닌 진짜 나로
늦지 않아 이제
그게 뭔데 뭐래
자유 이제 내게
모든 것이 내게
무엇이 진정 니가 원했던 건지
어딜 가던지 무얼 하던지 너는
keep on followin' dream
my real my real dream
I will be there someday
my real world

keep on followin' dream
my real my real dream
I will be there someday
my real world
keep on followin' dream
my real my real dream
I will be there someday
my real world
살아있음 행복하니",발라드
"Suddenly 이렇게 나에게
찾아 온 슬픔이 너무도 힘든걸
Just for you 마지막 한번만
떠나는 그대를 볼 수만 있도록
내게 남겨진 기억속의 마지막 모습
찾고 싶어 찾아간 그 곳에서
그댈 볼까
어떻게든 잊으려고
지우려고 했지만
더욱 더 커져가는 마음속에 상처뿐
후회도 내 체념도 더욱
파고드는 그리움 뿐
하늘도 이런 나를 미워하고 있는지
내 몸을 아프게도 적시고만 있는걸
꺼멓게 다 타버린 나의
마음만이 남아 있는걸
내 자신조차 포기하겠어
내 가슴속에 기억하겠어
내 가슴속 깊숙이 널 묻어두고서
지우지 않겠어
그대 영원토록 나 증오로
사랑할게 love love
Close to you 기억에 잠기면
아직도 조금은 행복한 추억도
이젠 더 이상 의미 없는
세상이 된 걸
바로 지금 편안히 잠들고파
영원토록
어떻게든 잊으려고
지우려고 했지만
더욱 더 커져 가는 마음속에
상처뿐
후회도 내 체념도 더욱
파고드는 그리움 뿐
더 이상 걸을 수도 없을
만큼 힘든걸
아무리 참아봐도 더해가는 고통도
사랑이 참 이렇게 가시 가득
고인 아픔이란 걸
마지막 한번만 더 그대의
그림자조차 볼 수만 있게해줘
멀리서 다가오는 그대 모습 보았어
갑자기 굳어버린 나를 원망했지만
차라리 그 모습을 보지
않았어야 했을텐데
내 볼에 흘러내린 빗물이
내 눈물을
감추고 있을거라 생각하고 싶었어
그렇게 스쳐가는 그대
향기만이 남아 있을 뿐
내 자신조차 포기하겠어
내 가슴속에 기억하겠어
내 가슴속 깊숙이 널 묻어
두고서 지우지 않겠어
그대 영원토록 나 증오로
사랑할게 love love",발라드
"오렐레 오랄라
hey ho 너를 버려야만 했어
hey ho 너를 떠나기로 했어
hey ho 너를 버려야만 했어
hey ho 변명 따윈 하지 않겠어
오렐레 오랄라
떠나가 가 가 가서
나를 다시 찾지마
오렐레 오랄라
이제나 나 나
나의 맘을 버릴 테니까
이젠 나를 보내준다고
이제 다신 나를 안 보겠다고
미안하단 말만 남기고서
뒤돌아 버렸어
대체 왜 그러는거니
무슨 일이 너에게 생겨서
나 혼자서 혼자서
살아가라고 말하니
내 모든 사랑이
나의 전부라 여겼어
이제 와서 어떡하라고
난 처음부터 너만 알았고
지금껏 너를 믿으면서 살았어
오바바이 오랄라이
차라리 연락 없이
나를 피해버리면
너를 향한 내 모든 사랑은
다 조금씩 잊어버릴 텐데
오바바이 오랄라이
미안해하며
니가 뒤돌아선 순간에
니 뺨에 흐른 눈물이
내 눈에 잊혀지지 않으니까
이제 내 곁에 너를 지우려고 해
나의 가슴에 너를 버리려고 해
니가 더 큰 상처 받기 전에
내 맘에 너라는 존재는 없애려 해
너와 함께 모았던 것을 없애고
널 잊기 위해 울어도 봤어
하지만 그럴수록 너무도
니가 보고파 견딜 수가 없었어
오바바이 오랄라이
차라리 연락 없이
나를 피해버리면
너를 향한 내 모든 사랑은
다 조금씩 잊어버릴 텐데
오바바이 오랄라이
미안해하며
니가 뒤돌아선 순간에
니 뺨에 흐른 눈물이
내 눈에 잊혀지지 않으니까
오바바이 오랄라이
사랑한다고
이제 어디 가서 말하니
니 뺨에 흐른 눈물이
내 눈에 지워지지 않으니까
Yo move to the groove
can you groove everybody say
gotta move to the beat to the body
say hey ho
Yo move to the groove
can you groove everybody say
gotta move to the beat to the body
say hey ho
comin at yah",댄스
"이젠 출발이라고
문을 두드리는 소리
한낮의 햇빛이
커튼 없는 창가에 눈부신
어느 늦은 오후
텅 빈 방안에 가득한
추억들을 세어보고 있지
우두커니
전부 가져가기에는
너무 무거운 너의 기억들을
혹시 조금 남겨두더라도
나를 용서해
날 미워하지 마
녹슨 자전거 하나
겨우 몇 개의 상자들
움켜쥔 손에는
어느 샌가 따뜻해진 열쇠
그게 다였는데 결국
다 그런 거라고 내 어깨를
두드려줄 너는 어디 있는지
전부 가져가기에는
너무 무거운 너의 기억들을
혹시 조금 남겨두더라도
나를 용서해
날 미워하지마
전부 가져가고 싶어
곳곳에 배인 너의 숨결까지
손때 묻은 열쇠
두개가 닫힌 문 뒤로
떨어지는 소리",발라드
"한참을 말이 없이 살았죠
말못할 병에 걸린 것처럼
기억조차 하지 못하는
그댈 바라보며 나도
한동안 지운채 살았죠
예전 모습 찾지 못하는 그댈
나도 그댈 기억 못하는 것처럼
거짓말 같은 현실이 아니기를
모르겠죠 내가 누군지
기억나지 않겠죠 우리 행복했던
그 많은 시간 추억도 이젠
모두 다 지워져있겠죠
단 한번 내가 예전 그댈
볼 수 있다면
그럴 순 없겠지만 단 한번인데
그것도 안 되는 거죠
그대에게 난 모르는 사람이죠
사랑도 기억보다 먼가요
우리 추억 기억보다 먼가요
내 눈을 봐요 오랜 시간
함께 했던
내가 보이지 않나요
볼 수 없나요
모르겠죠 내가 누군지
기억나지 않겠죠 우리 행복했던
그 많은 시간 추억도 이젠
모두 다 지워져있겠죠
단 한번 내가 예전
그댈 볼 수 있다면
그럴 순 없겠지만 단 한번인데
그것도 안 되는 거죠
그대에게 난 모르는 사람이죠
단 하루라도 내가 살아
낼 수 있을지
그럴 수는 없겠죠 단 한번쯤은
괜찮아 질 수 없는지
나도 기억나지 않는 사람처럼
그대에게 난 모르는 사람이죠",발라드
"tell me why you come to me
tell me why you want my love
나를 이렇게 쉽게 떠날꺼라면
you are always on my mind
I can't live without you love 다시 내게 돌아와
tell me why I don't wanna say goodbye
상관없어 내맘 걱정하지마 난 괜찮아
어차피 다 지난 기억속에
희미한 나만 남아있을뿐
널 사랑했던 그순간 tonight
오랜 시간뒤엔 잊혀지겠지 다른 사랑도 있겠지
가끔 너를 닮은 뒷모습 보면 가던길 멈출 테지만
정말 나를 사랑하긴 했는지 너무 서둔건 아닌지
매일 잠이드는 그순간마다 때 늦은 눈물 흘려도
마지못해 살겠지 추억 속에 남겨져
끝내 지우지 못할 그리움속에
많이 울어야겠지 끝없이 날 버리며
너를 사랑한만큼 baby please let go
지난 날들은 그저 추억을 메꿔
텅빈 가슴을 내눈물로 채우며
너무 아픈날들 난 긴밤을 새우며
내맘을 숨기기에는 이미 깊어진 상처
내속에 남겨져 가끔씩 꿈속에 잠겨
귓가를 간지럽히는 너의 목소리가 들려
그리움에 눈물만 흘러
아직 눈감으면 나의 입술에 웃음 그리던 널느껴
그손 잡아보려 눈을 떠보면 외로이 눈물만 흘러
tell me why you come to me
tell me why you want my love
나를 이렇게 쉽게 떠날꺼라면
you are always on my mind
I can't live without you love 다시 내게 돌아와
내가 어떻게 너를 잊을수 있겠니
내삶이 끝나 나를 잊어도
마지못해 살겠지 추억속에 남겨져
끝내 지우지 못할 그리움속에
많이 울어야겠지 끝없이 날 버리며
너를 사랑한만큼
내삶이 끝나는 그 날까지 난 애타게 기다리겠지
오지 않을걸 알지만
하지만 오랜시간 후 널 다시 만날 수
있는 순간까지 넌 내 전부니까 goodbye

",발라드
"비가 오는 거릴 좋아하죠
그래서 눈물도 많아요
빨간 장미보단 하얀 카라를
또 담배 연길 무척 싫어하죠
처음처럼 전화는 자주해줘요
그녀가 토라질땐 수화기에 대고
그 노랠 가끔 불러줘요
아무일도 없다는듯 웃을테니
I could say i love you
it hurts me deep in my heart
이제 당신에게 그녈 보내요
정말 원하는건
왜 항상 갖질 못하는지
소중한건 다 떠나는지
I could say i love you
it hurts me deep in my heart
그녈 울린다면 나 용서 않죠
내가 세상에서
가장 부러워할 수 있는
한 사람이 되겠다고 약속해요
그녀 집앞에서 멀지 않은 곳
걷기 좋은 곳이 있죠
가끔 커피를 들고
그녀와 산책하곤 했죠
그것마저 이젠 당신 몫인걸요
I could say i love you
it hurts me deep in my hearts
이제 당신에게 그녈 보내요
같은 남자라면
내 마음 이해해주겠죠
누구보다 행복하길 바라는맘
I could say i love you
it hurts me deep in my hearts
부디 그녀곁에 영원해줘요
지금 당신에게
그녀를 떠나보낸일이
내가 가장 잘한일이 될 수 있게
잊어 주는거야 내 그녈 위해
난 어떤 얘기도
한 적 없었던걸로 해요
이젠 이게 내 마지막 부탁이죠
내 그녈 위해",발라드
가사,장르
"저 먼 바다 끝엔 뭐가 있을까
다른 무언가 세상과는 먼 얘기
구름위로 올라가면 보일까
천사와 나팔부는 아이들
숲속 어디엔가 귀를 대보면
오직 내게만 작게 들려오는 목소리
꿈을 꾸는 듯이 날아가볼까
저기 높은 곳 아무도 없는 세계
그렇게도 많던 질문과
풀리지 못한 나의 수많은 얘기가
돌아보고 서면 언제부턴가
나도 몰래 잊고 있던 나만의 비밀
이제 정말 왜 이래 나 이제 커버린 걸까
이제 정말 뭔가 잃어버린 기억
지금 내맘 이젠 나의 그 작은 소망과
꿈을 잃지 않기를 저 하늘속에 속삭일래
까만 밤하늘에 밝게 빛나던
별들 가운데 나 태어난 곳 있을까
나는 지구인과 다른 곳에서
내려 온 거라 믿고 싶기도 했어
그렇게도 많던 질문과
풀리지 못한 나의 수많은 얘기가
돌아보고 서면 언제 부턴가
나도 몰래 잊고 있던 나만의 비밀
이제 정말 왜 이래 나 이제 커버린 걸까
이제 정말 뭔가 잃어버린 기억
지금 내맘 이젠 나의 그 작은 소망과
꿈을 잃지 않기를 저 하늘속에 속삭일래
왜 이래 나 이제 커버린 걸까
이제 정말 뭔가 잃어버린 기억
지금 내맘 이젠 나의 그 작은 소망과
꿈을 잃지 않기를 저 하늘속에 속삭일래
너무나도 좋은 향기와 바람이
나에게로 다가와
어느샌가 나도 모르게
가만히 들려오는 작은 속삭임
귀를 기울이고 불러보세요
다시 찾게 될 거예요 잊혀진 기억
생각해봐 나 이제 더 이상 놓치진 않아
소중했던 나의 잃어버린 기억
지금 내맘 이젠 나의 그 작은 소망과
꿈을 잃지 않기를 저 하늘 속에 속삭일래
왜 이래 나 이제 커버린 걸까
이제 정말 뭔가 잃어버린 기억
지금 내맘 이젠 나의 그 작은 소망과
꿈을 잃지 않기를 저 하늘속에 기도할래",댄스
"이리저리 아무리 생각해봐도
그대는 나만 있으면
될 것 같은데
얼마나 이별을 더 해봐야
알 수 있을런지
이제서야 조금씩
알 것 같은데 도대체
남자가 뭐란 걸
사랑을 다룰 땐
역시 경험이란 걸
그렇게 버티다간 늘어나는
나이와 잔주름 책잡힐 과건
왜 만들어 그냥 날 선택하세요
결혼해줘요 눈 딱 감고
내 한 목숨 그댈 위해서
다 던져버릴테니 그대 인생
내게 맡겨 봐요
결혼해줘요 날 믿어요
나 사실은 자신 없어요
나 다른 건 몰라도
약속해줘요 Oh 사랑할거예요
혼자서 외로울 땐
결혼이 하고 싶고
결혼을 하고 나면
아기가 갖고 싶고
아기가 생겨 나고
세월이 흘러가면
혼자가 부러워진대
여기저기 결혼한 많은 사람들
이런 내 얘길 들으면
그럴 땐 그런 거라고
왠지 행복하지 않아보여
그렇잖아 그렇게 변해가잖아
다시 또 혼자도 되잖아
사랑이 뭔지도
혼란스러울 뿐야
어쩌면 환상같은 행복으로
시작은 했지만 먹구름 같은
현실속에
무너져 간 건 아닐까
결혼해줘요 내 사랑은
이 세상을 끝내는 그날
내 마지막 고백이
되는 그런 사랑 만들테니
결혼해줘요 날 믿어요
나 사실은 자신 없어요
나 그대만 보면서
약속해줘요
Oh 행복할거예요
날 사랑하나요 그럼요
난 아직 모르겠어요
왜 나를 스친 남자들이
갑자기 생각날까
결혼해줘요 눈 딱 감고
내 한 목숨 그댈 위해서
다 던져버릴테니 그대
인생 내게 맡겨 봐요
결혼해줘요 날 믿어요
나 사실은 자신 없어요
나 다른 건 몰라도 약속해줘요
Oh 영원할거예요
결혼을 할 거라면
확실히 목숨 걸고
결혼을 한 거라면
끝까지 책임지고
한평생 살 거라면
절대로 배신없이
사랑을 지켜야만해
결혼을 할거라면
",댄스
"Just One 10 MINUTES
내 것이 되는 시간
순진한 내숭에 속아 우는 남자들
Baby 다른 매력에 흔들리고 있잖아
용기내봐 다가와 날 가질
수도 있잖아
어느 늦은 밤 혼자 들어선 곳
춤추는 사람들 그 속에 그녀와 너
왠지 끌리는 널 갖고 싶어져
그녀가 자릴 비운 그 10분 안에
지루했던 순간이 날 보는
순간 달라졌어
I'm telling you
오래된 연인 그게 아니던
중요한 사실은
넌 내게 더 끌리는 것
I say 너의 그녀는 지금
거울을 보며
붉은색 립스틱 화장을 덧칠하고
Baby 높은 구두에 아파하고
있을걸
나는 달라 그녀와 날 비교하진
말아줘
짧은 순간이 아니라고 했잖아
영화속에 갇힌 우리가 되는 거야
영화속 10분 1년도 지나쳐 어때
겁먹지는 마 너도 날 원해
지루했던 순간이 날 보는 순간
달라졌어
I'm telling you
오래된 연인 그게 아니던
중요한 사실은
넌 내게 더 끌리는 것
Just one 10 MINUTES
내 것이 되는 시간
모든 게 끝난 후 그녀가
오고 있어
Baby 붉은 립스틱
촌스럽기도 하지
내게와봐 이제 넌 날
안아봐도 괜찮아
Don't tell a lie just be
yourself
힘들게 둘러 대지마
널 떠나달라 말을해 have it
your way
Bling Bling shine it's right
to come
사랑에 빠진 거라고
거짓을 말할거라면 모두 없던
걸로 해
I say 너의 그녀는 지금
거울을 보며
붉은색 립스틱 화장을 덧칠하고
Baby 높은 구두에 아파하고
있을걸
나는 달라 그녀와 날 비교하진
말아줘
Just one 10 MINUTES
내 것이 되는 시간
순진한 내숭에 속아 우는 남자들
Baby 다른 매력에 흔들리고
있잖아
용기 내봐 다가와 날 가질
수도 있잖아
Just one 10 MINUTES
Just one 10 MINUTES",댄스
"아무리 기다려도 난 못 가

바보처럼 울고 있는 너에 곁에

상처만 주는 나를 왜 모르고

기다리니 떠나가란 말야

보고싶다 보고싶다

이런 내가 미워질 만큼

울고 싶다 네게 무릎 꿇고

모두 없던 일이 될 수 있다면

미칠 듯 사랑했던 기억이

추억들이 너를 찾고 있지만

더 이상 사랑이란 변명에

너를 가둘 수 없어

이러면 안 되지만

죽을 만큼 보고싶다

보고싶다 보고싶다

이런 내가 미워질 만큼

믿고 싶다 옳은 길이라고

너를 위해 떠나야만 한다고

미칠 듯 사랑했던 기억이

추억들이 너를 찾고 있지만

더 이상 사랑이란 변명에

너를 가둘 수 없어

이러면 안 되지만

죽을 만큼 보고싶다
",발라드
"나빠요 참 그대란 사람
허락도 없이 왜 내 맘 가져요
그대 때문에
난 힘겹게 살고만 있는데
그댄 모르잖아요
알아요 나는 아니란 걸
눈길 줄 만큼 보잘 것 없단걸
다만 가끔씩
그저 그 미소 여기 내게도
나눠줄 순 없나요
비록 사랑은 아니라도
언젠간 한번쯤은 돌아봐 주겠죠
한없이 뒤에서 기다리면
오늘도 차마 못한 가슴속 한마디
그댈 사랑합니다
어제도 책상에 엎드려
그댈 그리다 잠들었나봐요
눈을 떠보니
눈물에 녹아 흩어져 있던
시린 그대 이름과
헛된 바램뿐인 낙서만
언젠간 한번쯤은 돌아봐 주겠죠
한없이 뒤에서 기다리면
오늘도 차마 못한 가슴속 한마디
그댈 사랑합니다
이젠 너무 나도 내겐 익숙한
그대 뒷모습을 바라보며
흐르는 눈물처럼 소리없는 그말
그댈 사랑합니다",발라드
"많은 친구 모인 밤 그 속에서
늘 있던 자리에 니가 가끔 보이지 않을 때
내가 좋아했던 너의 향길 맡으면
혹시 니가 아닐까 고갤 돌려 널 찾을 때
우연히 너의 동넬 지나갈 때면
어느새 니 얼굴 자꾸 떠오를 때
그랬나봐 나 널 좋아하나봐
하루하루 니 생각만 나는걸
널 보고싶다고 잘할 수 있다고
용기내 전활 걸고 싶었는데
그게 잘 안돼 바보처럼
우연히 너의 메일을 알게 되면서
모니터 앞에 널 밤새 기다릴 때
그랬나봐 나 널 좋아하나봐
하루하루 니 생각만 나는걸
널 보고싶다고 잘할 수 있다고
용기내 전활걸고 싶었는데
그게 잘 안돼
말 하지 못한 막막함을
너는 알고 있을까
오랫동안 기다려온 사람 내 앞에
숨쉬고 있는 걸
그랬나봐 나 널 좋아하나봐
하루하루 니 생각만 나는걸
널 보고싶다고 잘할 수 있다고
용기내 전활걸고 싶었는데
그게 잘 안돼
넌 언제나 나를 꿈꾸게 하지
지금보다 더 좋은 남자 되고싶다고
널 만나러 가는 이 시간 난 연습해
그토록 오랜시간 가슴속에 숨겨 왔던 말
사랑해",발라드
"괜스레 힘든 날 턱없이 전화해
말없이 울어도 오래 들어주던 너
늘 곁에 있으니 모르고 지냈어
고맙고 미안한 마음들
사랑이 날 떠날때 내 어깰 두드리며
보낼 줄 알아야 시작도 안다고
얘기하지 않아도 가끔 서운케 해도
못믿을 이 세상 너와 난 믿잖니

겁없이 달래고 철없이 좋았던
그 시절 그래도 함께여서 좋았어
시간은 흐르고 모든게 변해도
그대로 있어준 친구여
세상에 꺾일때면 술 한잔 기울이며
이제 곧 우리의 날들이 온다고
너와 마주 앉아서 두 손을 맞잡으면
두려운 세상도 내 발 아래 있잖니
세상에 꺽일때면 술 한잔 기울이며
이제 곧 우리의 날들이 온다고
너와 마주 앉아서 두 손을 맞잡으면
두려운 세상도 내 발 아래 있잖니
눈빛만 보아도 널 알아
어느 곳에 있어도 다른 삶을 살아도
언제나 나에게 위로가 되준 너
늘 푸른 나무처럼 항상 변하지 않을
너 얻은 이 세상 그걸로 충분해
내 삶이 하나 듯 친구도 하나야
",발라드
"난 세상에서
가장 아름다운
그녀를 사랑한다
친구들은 왠지
그런 내가
걱정스러운가 보다
난 바보가 아닌데
나도 이제 다 아는데
그래서 난
그녀를 보내기로 했다
난 너무 키가 작다
그대 그렇게
나를 멀리 떠난다해도
끝내 웃음으로
보낼 수 밖에
보잘 것 없는
나의 모습 때문에
나 그대를
잡을 수 없죠
늘 키작은 내 모습만을
원망했기에
난 사랑도 몰랐었는데
마법에 걸려 잠든
그댈 보면서
난 조금씩
사랑을 배웠죠
겨우 이제서야
사랑을 난 알게 됐는데
그댄 왜 나를 남겨두고
떠나가나요
내 사랑만큼 내 모습이
자랄 때까지
내 곁에 좀더
잠들 수 있다면
잠시 부족한 내 모습을
잊어버린 채
감히 나 그대를
사랑했지만
이젠 알았죠
이런 내 모습으론
난 사랑도
할 수 없음을
우습던 날 바라보며
웃던 그대는
내 맘을
다 알지 못했죠
단 하루라도
그대 슬퍼할까봐
날 감추며
광대가 됐던 날
밤새 내 곁에서
잠든 나를
바라보면서
왜 떠나가나요
그대가 흘린 눈물을
난 알지 못했죠
날 지금까지웃게 했던
그 모습으로
애써 아픔을
감추던 그댈
시간이 흘러
그댈 볼 수 있다면
그날까지 나
잠이 들기를 왜 날
이제 어느샌가
떠나야 할 시간이 됐죠
안되는 건가요
그대여 제발
나를 보며 슬퍼 말아요
왜 날 왜 날 왜 날
늘 바보같이 웃음뿐인
그 모습처럼
한번더 내게
바보가 돼줘요
키작은 내 사랑이여
안녕",발라드
